Frequency	Signal	Power
0	0.75	2.1825421e-31
10	0.71239147	1.9755056e-32
20	0.60369921	1.7190398e-31
30	0.43583619	2.374688e-32
40	0.2270939	1.9169643e-31
50	2.0578296e-16	2.6372228e-32
60	-0.22130203	1.774529e-31
70	-0.41383044	8.4512692e-32
80	-0.5583624	1.0575368e-31
90	-0.64153892	5.1812347e-32
100	-0.65723001	1.8464894e-31
110	-0.60700789	1.0693969e-31
120	-0.4996889	1.9121802e-31
130	-0.35002189	2.1067914e-31
140	-0.17670577	8.4070287e-32
150	-5.8602268e-16	1.4456099e-31
160	0.16076299	6.52571e-32
170	0.28944857	1.8585954e-31
180	0.3748942	4.2915965e-32
190	0.41197821	1.6824048e-31
200	0.4018701	3.9663928e-32
210	0.35145866	1.7876329e-31
220	0.27206223	2.466316e-32
230	0.17761685	2.5503882e-31
240	0.082602996	1.8442236e-32
250	4.8265021e-16	2.500657e-31
260	-0.060453344	3.8335046e-32
270	-0.093460989	2.3859331e-31
280	-0.098682173	4.8285485e-32
290	-0.0804996	2.3949902e-31
300	-0.04709289	1.1681663e-31
310	-0.0089632606	4.1706465e-31
320	0.022868999	1.9979269e-31
330	0.038728228	1.7106181e-31
340	0.031934656	7.3071536e-32
350	3.0987949e-16	1.4386326e-31
360	-0.054811657	1.499673e-31
370	-0.12564759	1.2493166e-31
380	-0.2019425	1.5140312e-31
390	-0.27089354	7.1329621e-32
400	-0.31933447	2.4148036e-31
410	-0.33574953	4.6166015e-32
420	-0.31214274	2.7833047e-31
430	-0.24549246	2.9797204e-32
440	-0.1385721	3.2385306e-31
450	-1.1126783e-15	1.9241267e-32
460	0.15651699	3.4161737e-31
470	0.31367263	2.0375147e-32
480	0.4526093	3.8107152e-31
490	0.55527123	2.3593652e-32
500	0.60676275	3.3361944e-31
510	0.59740238	5.1944678e-32
520	0.52419654	2.7572264e-31
530	0.39152513	9.2163933e-32
540	0.21092866	2.998934e-31
550	1.7084033e-15	1.2120372e-31
560	-0.2195021	3.6952139e-31
570	-0.42409926	2.2546434e-31
580	-0.5913066	2.0585801e-31
590	-0.70228224	2.5954817e-31
600	-0.74408603	2.4170449e-31
610	-0.71126585	2.6860086e-31
620	-0.60657112	2.4192759e-31
630	-0.44069972	5.5178603e-31
640	-0.23110428	1.4679799e-31
650	-4.5575946e-15	5.5108359e-31
660	0.22818533	1.327077e-31
670	0.42960939	5.7656864e-31
680	0.58372255	4.2351988e-32
690	0.67555801	8.1161196e-31
700	0.69733236	1.0419921e-32
710	0.64917166	7.6597082e-31
720	0.53888811	3.1523526e-32
730	0.38085108	8.07759e-31
740	0.1941078	4.9437066e-32
750	3.790784e-15	1.3729847e-30
760	-0.18041856	1.8240788e-31
770	-0.3288399	8.3086058e-31
780	-0.43173334	3.4938415e-31
790	-0.48170975	9.3055074e-31
800	-0.47806799	4.9944845e-31
810	-0.42648107	9.6180271e-31
820	-0.33789138	8.9643243e-31
830	-0.22678498	6.9201681e-31
840	-0.10909164	1.1727383e-30
850	-2.034167e-15	6.5364737e-31
860	0.088018646	1.6812794e-30
870	0.14671981	3.5601412e-31
880	0.17293907	2.4051358e-30
890	0.16869293	1.6774111e-31
900	0.14053599	3.0998822e-30
910	0.098284765	9.0098851e-32
920	0.053304833	3.9104817e-30
930	0.0166153	7.2020795e-33
940	-0.0029123399	4.8849845e-30
950	-3.0574988e-16	1.0788534e-31
960	0.026155906	6.2059533e-30
970	0.071696795	5.5237093e-31
980	0.12863802	7.8076112e-30
990	0.18605626	1.6978813e-30
1000	0.23176275	9.4663321e-30
1010	0.25422588	4.2553244e-30
1020	0.24446862	1.3287258e-29
1030	0.19766478	1.0695951e-29
1040	0.11419584	1.9214819e-29
1050	2.6583505e-15	2.8783604e-29
1060	-0.13385984	3.4082912e-29
1070	-0.27237658	1.0795685e-28
1080	-0.39839178	1.068664e-28
1090	-0.49477762	1.7714928e-27
1100	-0.54672647	2.5524298e-27
1110	-0.54384444	6.61151e-28
1120	-0.48176379	1.6398901e-29
1130	-0.36304524	1.0874115e-28
1140	-0.19722882	1.1112544e-30
1150	-6.7629809e-15	4.3346311e-29
1160	0.20844863	2.7676895e-32
1170	0.40567403	2.3330186e-29
1180	0.56958873	3.773241e-31
1190	0.68109761	1.3462422e-29
1200	0.72643737	8.8946013e-31
1210	0.69892315	8.4044483e-30
1220	0.59987705	1.3179566e-30
1230	0.43861315	5.4021943e-30
1240	0.23147002	1.7274744e-30
1250	5.1449093e-15	3.2881532e-30
1260	-0.23147002	1.7762313e-30
1270	-0.43861315	2.2458135e-30
1280	-0.59987705	2.3027121e-30
1290	-0.69892315	1.5140091e-30
1300	-0.72643737	2.7401846e-30
1310	-0.68109761	4.8041606e-31
1320	-0.56958873	1.8879287e-30
1330	-0.40567403	3.2024942e-31
1340	-0.20844863	1.7830117e-30
1350	-6.9239559e-15	1.6921527e-31
1360	0.19722882	1.8858287e-30
1370	0.36304524	3.1498881e-32
1380	0.48176379	1.5216052e-30
1390	0.54384444	7.6794048e-33
1400	0.54672647	1.3742837e-30
1410	0.49477762	4.65167e-32
1420	0.39839178	1.2404792e-30
1430	0.27237658	1.260113e-31
1440	0.13385984	1.0074735e-30
1450	2.85521e-15	2.2259032e-31
1460	-0.11419584	8.8722339e-31
1470	-0.19766478	3.8932329e-31
1480	-0.24446862	6.3002984e-31
1490	-0.25422588	5.2778273e-31
1500	-0.23176275	4.7015007e-31
1510	-0.18605626	1.2263448e-30
1520	-0.12863802	9.194664e-32
1530	-0.071696795	1.3351203e-31
1540	-0.026155906	1.7545851e-31
1550	-5.0766073e-16	3.4792551e-31
1560	0.0029123399	9.3744949e-32
1570	-0.0166153	3.7920751e-31
1580	-0.053304833	5.2565841e-32
1590	-0.098284765	4.6614989e-31
1600	-0.14053599	2.391327e-32
1610	-0.16869293	4.3973248e-31
1620	-0.17293907	1.095635e-32
1630	-0.14671981	4.7878596e-31
1640	-0.088018646	4.035783e-32
1650	-4.6160325e-15	4.3609157e-31
1660	0.10909164	5.8280948e-32
1670	0.22678498	2.8996597e-31
1680	0.33789138	7.3139017e-32
1690	0.42648107	2.8676232e-31
1700	0.47806799	1.5098974e-31
1710	0.48170975	1.14545e-31
1720	0.43173334	2.6179135e-31
1730	0.3288399	1.5867334e-31
1740	0.18041856	2.1532049e-31
1750	6.6895084e-15	1.9284698e-31
1760	-0.1941078	2.2325181e-31
1770	-0.38085108	9.026527e-32
1780	-0.53888811	2.4070307e-31
1790	-0.64917166	7.643077e-32
1800	-0.69733236	2.2746631e-31
1810	-0.67555801	4.6383667e-32
1820	-0.58372255	2.7389974e-31
1830	-0.42960939	5.1913209e-33
1840	-0.22818533	2.1706309e-31
1850	-1.0938135e-14	6.6967044e-33
1860	0.23110428	2.4544539e-31
1870	0.44069972	3.4893682e-32
1880	0.60657112	1.934263e-31
1890	0.71126585	4.4829424e-32
1900	0.74408603	1.8717003e-31
1910	0.70228224	5.7103752e-32
1920	0.5913066	2.0799934e-31
1930	0.42409926	1.1247928e-31
1940	0.2195021	9.4121913e-32
1950	7.858828e-15	5.4424782e-32
1960	-0.21092866	8.898907e-32
1970	-0.39152513	1.7948117e-31
1980	-0.52419654	6.5190092e-32
1990	-0.59740238	2.2614013e-31
2000	-0.60676275	3.3939521e-32
2010	-0.55527123	1.4661693e-32
2020	-0.4526093	1.8984414e-31
2030	-0.31367263	1.8813492e-31
2040	-0.15651699	1.7560525e-31
2050	-3.7478601e-15	3.2028518e-31
2060	0.1385721	1.1373001e-32
2070	0.24549246	1.2584683e-31
2080	0.31214274	1.233334e-32
2090	0.33574953	1.8886891e-31
2100	0.31933447	4.9986741e-32
2110	0.27089354	2.1245703e-31
2120	0.2019425	1.3183113e-33
2130	0.12564759	4.7525459e-32
2140	0.054811657	1.5168155e-32
2150	2.6168085e-15	3.3349144e-31
2160	-0.031934656	2.4459253e-31
2170	-0.038728228	1.8172784e-31
2180	-0.022868999	5.8886686e-32
2190	0.0089632606	4.1510064e-32
2200	0.04709289	1.3015967e-31
2210	0.0804996	1.4040448e-31
2220	0.098682173	1.3376739e-31
2230	0.093460989	5.3957719e-32
2240	0.060453344	1.6465628e-31
2250	3.5204653e-15	4.4418462e-32
