Frequency	Signal	Power
0	0.85	2.147966e-31
10	0.80749712	2.3010618e-32
20	0.68460091	1.6839147e-31
30	0.49461471	2.5822356e-32
40	0.2579956	1.9065516e-31
50	2.3411065e-16	2.7610469e-32
60	-0.25220373	1.7408932e-31
70	-0.47260896	8.4559381e-32
80	-0.6392641	1.0801471e-31
90	-0.73664457	4.954827e-32
100	-0.75723001	1.8825457e-31
110	-0.70211354	9.9574787e-32
120	-0.5805906	2.006496e-31
130	-0.40880041	2.0333013e-31
140	-0.20760747	9.7283886e-32
150	-6.9321022e-16	1.3477339e-31
160	0.19166469	9.0358685e-32
170	0.34822709	1.7242933e-31
180	0.45579589	7.7328149e-32
190	0.50708386	1.5713123e-31
200	0.5018701	1.7193733e-31
210	0.44656431	6.7657797e-31
220	0.35296393	7.0297308e-32
230	0.23639537	2.0184839e-31
240	0.1135047	3.692669e-32
250	6.9090207e-16	2.1646024e-31
260	-0.091355043	6.1251522e-32
270	-0.15223951	2.0708149e-31
280	-0.17958387	6.6710989e-32
290	-0.17560525	2.1114549e-31
300	-0.14709289	1.4004815e-31
310	-0.10406891	3.7689364e-31
320	-0.058032701	2.0313914e-31
330	-0.020050297	1.4877555e-31
340	0.0010329567	7.6791266e-32
350	8.9381169e-17	1.2743592e-31
360	-0.023909957	1.5275842e-31
370	-0.066869064	1.1223336e-31
380	-0.1210408	1.5023298e-31
390	-0.17578789	6.4040243e-32
400	-0.21933447	2.3325419e-31
410	-0.24064388	4.4125752e-32
420	-0.23124104	2.712362e-31
430	-0.18671393	2.9424649e-32
440	-0.1076704	3.0903296e-31
450	-8.7993355e-16	2.281698e-32
460	0.12561529	3.2484252e-31
470	0.25489411	2.4206886e-32
480	0.3717076	3.6700201e-31
490	0.46016558	2.9035627e-32
500	0.50676275	3.2213057e-31
510	0.50229672	5.793312e-32
520	0.44329485	2.6109842e-31
530	0.3327466	9.8809886e-32
540	0.18002696	2.9157816e-31
550	1.4634121e-15	1.2360232e-31
560	-0.1886004	3.5797828e-31
570	-0.36532073	2.2789114e-31
580	-0.5104049	1.9014658e-31
590	-0.60717659	2.5748921e-31
600	-0.64408603	2.3163411e-31
610	-0.6161602	2.6040172e-31
620	-0.52566942	2.3696099e-31
630	-0.38192119	5.3250032e-31
640	-0.20020259	1.4011681e-31
650	-3.9450855e-15	5.3457091e-31
660	0.19728363	1.3144035e-31
670	0.37083087	5.5658011e-31
680	0.50282085	4.9065512e-32
690	0.58045236	7.9188676e-31
700	0.59733236	1.2922997e-32
710	0.55406601	7.4231934e-31
720	0.45798641	3.7392757e-32
730	0.32207256	7.9491333e-31
740	0.1632061	4.9616127e-32
750	3.1660284e-15	1.3508553e-30
760	-0.14951686	2.0619714e-31
770	-0.27006138	8.1126808e-31
780	-0.35083164	3.6049986e-31
790	-0.3866041	9.0753175e-31
800	-0.37806799	4.9928424e-31
810	-0.33137542	9.3440307e-31
820	-0.25698968	8.9847264e-31
