FM Modulation Parameters: m=100.0, F=2000000, FMOD=10, FD=100000
Frequency	Signal	Power
0	1	5.9373776e-29
20	0.8088323	1.2555356e-27
40	0.30841937	4.4161771e-27
60	-0.30991321	9.9934068e-27
80	-0.80975499	1.5817047e-26
100	-0.99999877	2.124652e-26
120	-0.80790761	3.5674594e-26
140	-0.30692477	5.072828e-26
160	0.31140628	7.006751e-26
180	0.81067568	8.2415831e-26
200	0.99999507	1.0739777e-25
220	0.80698093	1.1961115e-25
240	0.30542941	1.4258778e-25
260	-0.31289859	1.5991247e-25
280	-0.81159438	1.9428667e-25
300	-0.9999889	2.2938984e-25
320	-0.80605226	2.5573317e-25
340	-0.3039333	2.8082644e-25
360	0.31439012	3.0750035e-25
380	0.81251107	3.5181129e-25
400	0.99998026	4.0555098e-25
420	0.80512159	4.4408088e-25
440	0.30243644	4.8979359e-25
460	-0.31588088	5.6133023e-25
480	-0.81342575	5.9665367e-25
500	-0.99996916	6.3958488e-25
520	-0.80418895	7.2302577e-25
540	-0.30093883	7.325639e-25
560	0.31737086	8.0267635e-25
580	0.81433843	8.7712538e-25
600	0.99995559	9.0103807e-25
620	0.80325432	9.7664504e-25
640	0.29944048	1.0407389e-24
660	-0.31886006	1.0946046e-24
680	-0.8152491	1.1804706e-24
700	-0.99993955	1.2641539e-24
720	-0.8023177	1.3199719e-24
740	-0.29794139	1.3663164e-24
760	0.32034847	1.4651789e-24
780	0.81615776	1.5105864e-24
800	0.99992104	1.6354647e-24
820	0.80137911	1.6881584e-24
840	0.29644156	1.8024957e-24
860	-0.32183609	1.8891921e-24
880	-0.81706441	1.9438262e-24
900	-0.99990007	2.0140117e-24
920	-0.80043854	2.101935e-24
940	-0.29494101	2.2049557e-24
960	0.32332291	2.3546913e-24
980	0.81796903	2.4370237e-24
1000	0.99987663	2.5021022e-24
1020	0.79949599	2.5892193e-24
1040	0.29343972	2.7157738e-24
1060	-0.32480894	2.8523584e-24
1080	-0.81887164	2.9735516e-24
1100	-0.99985073	3.0768655e-24
1120	-0.79855147	3.2050579e-24
1140	-0.29193772	3.2619156e-24
1160	0.32629416	3.4384063e-24
1180	0.81977223	3.5498601e-24
1200	0.99982235	3.6177815e-24
1220	0.79760498	3.7726494e-24
1240	0.29043499	3.8673363e-24
1260	-0.32777859	4.0051447e-24
1280	-0.8206708	4.1446476e-24
1300	-0.99979151	4.1960974e-24
1320	-0.79665653	4.4233463e-24
1340	-0.28893155	4.5349763e-24
1360	0.3292622	4.7087824e-24
1380	0.82156734	4.7915965e-24
1400	0.9997582	4.9361543e-24
1420	0.79570611	5.0357991e-24
1440	0.28742739	5.1697456e-24
1460	-0.330745	5.3425525e-24
1480	-0.82246186	5.4656551e-24
1500	-0.99972243	5.6130544e-24
1520	-0.79475372	5.8834207e-24
1540	-0.28592252	5.9691193e-24
1560	0.33222698	6.1463041e-24
1580	0.82335434	6.2482869e-24
1600	0.99968419	6.53444e-24
1620	0.79379937	6.7150299e-24
1640	0.28441695	6.8051776e-24
1660	-0.33370814	6.9732857e-24
1680	-0.8242448	7.1284897e-24
1700	-0.99964348	7.3450646e-24
1720	-0.79284307	7.5637474e-24
1740	-0.28291068	7.7310812e-24
1760	0.33518848	7.9524656e-24
1780	0.82513322	7.9977707e-24
1800	0.99960031	8.1464122e-24
1820	0.79188481	8.3210844e-24
1840	0.2814037	8.5801942e-24
1860	-0.336668	8.7112501e-24
1880	-0.8260196	8.9378548e-24
1900	-0.99955467	9.1076398e-24
1920	-0.79092459	9.2571914e-24
1940	-0.27989604	9.4327781e-24
1960	0.33814668	9.6278367e-24
1980	0.82690395	9.9452862e-24
2000	0.99950656	1.0130159e-23
2020	0.78996242	1.0273473e-23
2040	0.27838768	1.0507686e-23
2060	-0.33962453	1.067834e-23
2080	-0.82778626	1.0906939e-23
2100	-0.99945599	1.1003413e-23
2120	-0.78899831	1.1347469e-23
2140	-0.27687864	1.1486504e-23
2160	0.34110154	1.1815982e-23
2180	0.82866652	1.2037729e-23
2200	0.99940295	1.2263448e-23
2220	0.78803224	1.2473488e-23
2240	0.27536891	1.2706211e-23
2260	-0.34257771	1.2933072e-23
2280	-0.82954474	1.3059404e-23
2300	-0.99934744	1.3351023e-23
2320	-0.78706424	1.361318e-23
2340	-0.2738585	1.3707346e-23
2360	0.34405303	1.4056494e-23
2380	0.83042091	1.4237927e-23
2400	0.99928947	1.4602365e-23
2420	0.78609429	1.4757076e-23
2440	0.27234742	1.5032325e-23
2460	-0.3455275	1.5322342e-23
2480	-0.83129503	1.569663e-23
2500	-0.99922904	1.585385e-23
2520	-0.7851224	1.6102564e-23
2540	-0.27083567	1.6256412e-23
2560	0.34700113	1.6501332e-23
2580	0.83216711	1.6820796e-23
2600	0.99916613	1.7067506e-23
2620	0.78414857	1.730239e-23
2640	0.26932325	1.7638172e-23
2660	-0.34847389	1.7877678e-23
2680	-0.83303712	1.8219636e-23
2700	-0.99910077	1.8449341e-23
2720	-0.78317281	1.8618395e-23
2740	-0.26781016	1.8962955e-23
2760	0.3499458	1.9240663e-23
2780	0.83390509	1.9445437e-23
2800	0.99903293	1.9788212e-23
2820	0.78219512	1.9971514e-23
2840	0.26629641	2.0367861e-23
2860	-0.35141684	2.0684281e-23
2880	-0.83477099	2.0933805e-23
2900	-0.99896264	2.140756e-23
2920	-0.7812155	2.1482111e-23
2940	-0.26478201	2.1856545e-23
2960	0.35288702	2.2235111e-23
2980	0.83563484	2.2573916e-23
3000	0.99888988	2.2904205e-23
3020	0.78023394	2.305279e-23
3040	0.26326695	2.347599e-23
3060	-0.35435632	2.3746604e-23
3080	-0.83649662	2.3956894e-23
3100	-0.99881465	2.4303302e-23
3120	-0.77925047	2.4683327e-23
3140	-0.26175124	2.5020185e-23
3160	0.35582475	2.5204339e-23
3180	0.83735634	2.5538395e-23
3200	0.99873696	2.586168e-23
3220	0.77826507	2.6223788e-23
3240	0.26023489	2.6623841e-23
3260	-0.3572923	2.7028696e-23
3280	-0.838214	2.730021e-23
3300	-0.9986568	2.7474554e-23
3320	-0.77727775	2.7871107e-23
3340	-0.25871789	2.8283706e-23
3360	0.35875897	2.8728485e-23
3380	0.83906958	2.8942445e-23
3400	0.99857418	2.9439674e-23
3420	0.77628851	2.9700455e-23
3440	0.25720026	2.9932017e-23
3460	-0.36022476	3.0228403e-23
3480	-0.8399231	3.0537591e-23
3500	-0.9984891	3.0931384e-23
3520	-0.77529736	3.1356394e-23
3540	-0.25568199	3.1716866e-23
3560	0.36168965	3.201508e-23
3580	0.84077454	3.2448155e-23
3600	0.99840155	3.2917451e-23
3620	0.7743043	3.308181e-23
3640	0.25416309	3.3598507e-23
3660	-0.36315366	3.4012038e-23
3680	-0.84162391	3.4339782e-23
3700	-0.99831154	3.4580394e-23
3720	-0.77330932	3.5030549e-23
3740	-0.25264357	3.5313678e-23
3760	0.36461677	3.5625344e-23
3780	0.8424712	3.6194946e-23
3800	0.99821907	3.6478791e-23
3820	0.77231244	3.7141555e-23
3840	0.25112342	3.7403982e-23
3860	-0.36607898	3.7637909e-23
3880	-0.84331641	3.8060418e-23
