FM Modulation Parameters: m=10000.0, F=2000000, FMOD=20, FD=100000
Frequency	Signal	Power
0	1	2.3019882e-28
20	0.77051324	4.8820825e-28
40	0.18738131	1.7991401e-28
60	-0.48175367	3.4955255e-29
80	-0.92977649	9.2608198e-29
100	-0.95105652	5.2666081e-28
120	-0.5358268	3.1795507e-28
140	0.12533323	1.8750873e-29
160	0.72896863	6.136032e-30
180	0.99802673	3.3548517e-29
200	0.80901699	1.4088822e-28
220	0.24868989	6.8072015e-29
240	-0.42577929	2.8706958e-28
260	-0.90482705	9.9296124e-29
280	-0.96858316	3.0324617e-28
300	-0.58778525	1.613694e-28
320	0.062790518	2.8619652e-29
340	0.6845471	2.3557146e-28
360	0.9921147	1.8485728e-28
380	0.84432793	4.1381022e-28
400	0.309017	2.6789468e-28
420	-0.36812455	1.1953644e-28
440	-0.87630668	7.7616782e-28
460	-0.98228725	1.3397507e-29
480	-0.63742399	1.8313717e-28
500	-6.4596424e-09	4.0684256e-28
520	0.63742398	4.6459712e-29
540	0.98228725	8.7516255e-29
560	0.87630668	2.2230446e-28
580	0.36812456	6.2345175e-29
600	-0.30901698	4.7850841e-30
620	-0.84432792	6.1798312e-29
640	-0.9921147	6.0433682e-29
660	-0.68454712	2.9360776e-29
680	-0.062790536	9.9677121e-30
700	0.58778524	1.2433693e-28
720	0.96858316	1.176053e-28
740	0.90482706	3.4144975e-29
760	0.42577931	6.3891722e-29
780	-0.24868986	9.3989907e-29
800	-0.80901698	8.4936431e-29
820	-0.99802673	5.948126e-28
840	-0.72896865	1.0970925e-28
860	-0.12533327	3.9524063e-28
880	0.53582677	5.8242322e-30
900	0.9510565	5.5531773e-28
920	0.9297765	5.3469821e-29
940	0.48175371	2.4300486e-28
960	-0.18738127	1.6359215e-28
980	-0.77051321	2.8512136e-29
1000	-1	2.7624939e-28
1020	-0.77051328	1.8527137e-29
1040	-0.18738137	2.9311283e-28
1060	0.48175362	5.9515109e-30
1080	0.92977646	1.6713515e-28
1100	0.95105654	2.4445776e-28
1120	0.53582686	3.3103385e-28
1140	-0.12533316	2.8588055e-28
1160	-0.72896857	4.0084002e-29
1180	-0.99802672	8.8572497e-29
1200	-0.80901705	8.6591597e-29
1220	-0.24868998	1.5048125e-29
1240	0.4257792	2.3175287e-28
1260	0.90482701	1.7692158e-29
1280	0.96858319	2.3989796e-28
1300	0.58778534	4.909325e-28
1320	-0.062790401	3.9419436e-29
1340	-0.68454702	4.2848818e-28
1360	-0.99211469	4.6090928e-29
1380	-0.844328	6.0913338e-29
1400	-0.30901713	1.1616141e-28
1420	0.36812442	1.4306837e-28
1440	0.87630661	1.2011026e-29
1460	0.98228728	2.2433336e-28
1480	0.63742412	3.5790437e-28
1500	1.7441031e-07	3.4703453e-29
1520	-0.63742385	3.6464691e-28
1540	-0.98228722	2.0809359e-29
1560	-0.87630677	6.012602e-29
1580	-0.36812474	9.4511572e-29
1600	0.30901679	9.3668696e-30
1620	0.84432781	8.0673732e-29
1640	0.99211473	1.6667914e-29
1660	0.68454728	2.4929548e-29
1680	0.062790764	7.4232095e-29
1700	-0.58778505	4.8916661e-30
1720	-0.9685831	1.7515401e-28
1740	-0.90482717	3.1727499e-28
1760	-0.42577955	3.4395216e-29
1780	0.2486896	1.2485525e-29
1800	0.80901682	3.6963179e-30
1820	0.99802675	6.5187378e-29
1840	0.72896885	1.7584943e-28
1860	0.12533356	1.1224105e-28
1880	-0.53582651	2.1078185e-28
1900	-0.95105641	1.496846e-28
1920	-0.92977662	1.8977522e-28
1940	-0.481754	9.0928826e-29
1960	0.18738093	4.5080248e-29
1980	0.77051299	1.6723408e-29
2000	1	1.2590582e-28
2020	0.77051351	1.8770744e-28
2040	0.18738175	1.2366526e-28
2060	-0.48175328	1.2524775e-28
2080	-0.92977631	4.8175798e-28
2100	-0.95105666	2.0167796e-28
2120	-0.53582721	1.495815e-28
2140	0.12533273	5.4347838e-28
2160	0.72896827	1.4858414e-28
2180	0.99802669	3.8965906e-28
2200	0.80901732	9.7204974e-29
2220	0.24869043	1.1052933e-28
2240	-0.42577877	3.688815e-28
2260	-0.9048268	1.1965996e-28
2280	-0.96858331	2.0698979e-28
2300	-0.58778576	2.3797459e-28
2320	0.062789876	2.7357316e-28
2340	0.68454662	2.4228122e-28
2360	0.99211462	3.2979733e-28
2380	0.8443283	1.7141179e-28
2400	0.30901767	1.3364062e-28
2420	-0.36812387	6.8092516e-30
2440	-0.87630632	3.6382678e-28
2460	-0.98228739	4.8008359e-28
2480	-0.6374246	2.3390241e-28
2500	-8.0745509e-07	1.578825e-28
2520	0.63742335	2.3597864e-29
2540	0.98228709	3.1370793e-28
2560	0.8763071	2.1797799e-28
2580	0.36812538	6.8134858e-28
2600	-0.30901613	7.9585356e-29
2620	-0.84432743	3.4608329e-28
2640	-0.99211482	5.9053017e-29
2660	-0.68454781	3.6314906e-28
2680	-0.062791512	5.4308861e-29
2700	0.58778443	1.3014707e-28
2720	0.9685829	4.0783897e-30
2740	0.90482751	2.1993269e-28
2760	0.42578027	1.4234045e-28
2780	-0.24868881	1.9495389e-28
2800	-0.80901633	2.7045645e-28
2820	-0.9980268	7.8878603e-29
2840	-0.72896944	2.0348109e-28
2860	-0.12533443	2.6508093e-28
2880	0.53582575	3.3464111e-28
2900	0.95105613	1.1384554e-28
2920	0.92977696	3.7189568e-29
2940	0.48175482	1.3984911e-28
2960	-0.18738	4.17067e-30
2980	-0.77051237	5.6098823e-28
3000	-1	1.2038121e-28
3020	-0.77051415	4.817724e-29
3040	-0.18738274	1.2375366e-28
3060	0.48175238	1.6615146e-28
3080	0.92977593	9.408648e-29
3100	0.95105699	1.6253373e-29
3120	0.53582812	1.4527227e-28
3140	-0.12533165	3.6626592e-30
3160	-0.72896751	5.77263e-29
3180	-0.99802662	2.605872e-28
3200	-0.80901799	1.77886e-28
3220	-0.24869156	1.0717454e-28
3240	0.4257777	1.3902102e-28
3260	0.90482629	1.3430818e-30
3280	0.96858361	1.4607504e-28
3300	0.58778675	8.5113878e-30
3320	-0.062788632	1.800001e-28
3340	-0.6845457	4.2536707e-28
3360	-0.99211446	1.7956935e-30
3380	-0.84432899	3.1758478e-28
3400	-0.30901893	2.3380377e-28
3420	0.36812263	7.519304e-29
3440	0.87630567	1.8582936e-28
3460	0.98228765	1.6476782e-28
3480	0.63742567	2.0798536e-28
3500	2.2156567e-06	4.1019491e-29
3520	-0.63742225	2.0300992e-28
3540	-0.98228682	1.661152e-28
3560	-0.8763078	8.8969741e-29
3580	-0.36812676	8.8522885e-29
3600	0.3090147	7.7571466e-30
3620	0.84432661	6.1658688e-29
3640	0.99211501	1.9675107e-28
3660	0.68454895	1.5106804e-28
3680	0.06279309	2.3946303e-28
3700	-0.58778313	1.1241379e-28
3720	-0.9685825	4.5814997e-29
3740	-0.9048282	2.6462865e-29
3760	-0.42578178	8.7059967e-29
3780	0.24868718	5.8000069e-29
3800	0.80901533	1.4381771e-28
3820	0.99802691	3.1915979e-29
3840	0.72897063	3.1984446e-29
3860	0.12533618	4.0450134e-29
3880	-0.53582425	2.9622435e-29
3900	-0.95105557	1.9059628e-28
3920	-0.92977763	3.5002542e-28
3940	-0.48175644	2.2789971e-29
3960	0.18737816	4.1537909e-28
3980	0.77051117	1.0617366e-28
4000	1	4.0541066e-29
4020	0.77051538	4.3492465e-29
4040	0.18738466	6.0408704e-29
4060	-0.48175064	1.2688555e-28
4080	-0.92977519	3.031318e-29
4100	-0.95105762	1.0370189e-28
4120	-0.53582985	3.1256408e-29
4140	0.1253296	3.6344534e-29
4160	0.72896608	1.663271e-29
4180	0.99802649	2.3804458e-28
4200	0.80901924	7.0045452e-29
4220	0.24869365	5.5183813e-29
4240	-0.42577573	2.9733405e-28
4260	-0.90482535	8.8400366e-29
4280	-0.96858417	9.7820654e-29
4300	-0.58778858	1.6823617e-28
4320	0.062786361	3.3795371e-28
4340	0.68454403	2.3285927e-28
4360	0.99211416	2.0968229e-29
4380	0.84433025	9.6092941e-29
4400	0.30902118	1.8555797e-28
