FSK Modulation Parameters: F=50000, F1=5000, F2=10000
Frequency	Signal	Power
0	1	9.3977876e-32
10	0.94088077	1.304534e-31
20	0.77051324	2.7818338e-32
30	0.50904142	1.979806e-31
40	0.18738131	1.5188634e-32
50	-0.15643447	8.9444596e-31
60	-0.48175367	6.7147209e-31
70	-0.75011107	1.0680049e-31
80	-0.92977649	3.7131061e-31
90	-0.99950656	3.8557599e-31
100	-0.95105652	5.7083008e-32
110	-0.79015501	7.2475896e-32
120	-0.53582679	2.063855e-31
130	-0.21814324	9.7572307e-32
140	0.12533323	1.4902248e-30
150	0.4539905	2.5217527e-30
160	0.72896863	2.4745606e-30
170	0.91775463	9.8445597e-31
180	0.99802673	4.1301307e-31
190	0.96029369	4.2192398e-31
200	0.80901699	4.9648925e-32
210	0.56208338	1.8798355e-31
220	0.24868989	4.4148014e-32
230	-0.094108313	5.4580179e-31
240	-0.42577929	1.9880454e-31
250	-0.70710678	2.1336118e-31
260	-0.90482705	7.2023941e-32
270	-0.99556196	1.6312419e-31
280	-0.96858316	8.0287479e-33
290	-0.82708057	1.2575863e-31
300	-0.58778525	5.861063e-32
310	-0.27899111	3.4085441e-31
320	0.06279052	6.959586e-31
330	0.39714789	6.9071974e-31
340	0.68454711	1.6978441e-30
350	0.89100652	6.3723718e-31
360	0.9921147	7.6730695e-31
370	0.97591676	1.8463184e-31
380	0.84432793	7.025705e-32
390	0.61290705	1.3672796e-32
400	0.30901699	3.5709692e-32
410	-0.031410759	1.4372541e-32
420	-0.36812455	1.205162e-32
430	-0.66131187	9.069406e-33
440	-0.87630668	4.7968802e-31
450	-0.98768834	1.2636927e-30
460	-0.98228725	3.7707894e-31
470	-0.86074203	2.9014128e-32
480	-0.63742399	6.659767e-33
490	-0.33873792	2.5223087e-31
500	-2.4499126e-15	1.7657542e-11
510	0.33873792	1.7226991e-31
520	0.63742399	3.1107477e-32
530	0.86074203	4.6918361e-33
540	0.98228725	9.7930906e-33
550	0.98768834	8.905783e-32
560	0.87630668	1.2684378e-32
570	0.66131187	4.4156949e-32
580	0.36812455	1.2705125e-32
590	0.031410759	1.2997192e-31
600	-0.30901699	3.3000451e-31
610	-0.61290705	1.6788158e-31
620	-0.84432793	1.0174429e-31
