FSK 2GHz Parameters: F=2GHz, F1=20000, F2=40000
Frequency	Signal	Power
0	1	6.4081773e-31
20000	0.8090133	9.8934997e-31
40000	0.30900504	2.6876593e-31
60000	-0.30903492	8.4986055e-33
80000	-0.80903177	3.8648739e-31
100000	-1	1.0924909e-30
120000	-0.80899483	7.9341487e-31
140000	-0.30897516	3.1353627e-31
160000	0.3090648	2.2896354e-31
180000	0.80905023	2.1042485e-31
200000	1	7.8252135e-31
220000	0.80897637	6.3965222e-30
240000	0.30894529	3.2837815e-30
260000	-0.30909468	3.2989992e-29
280000	-0.8090687	1.816623e-29
300000	-1	1.3336287e-29
320000	-0.8089579	7.7062083e-30
340000	-0.30891541	2.3160869e-30
360000	0.30912455	8.7262901e-31
380000	0.80908716	5.6621825e-31
400000	0.99999999	2.3084969e-31
420000	0.80893943	2.0962471e-30
440000	0.30888553	6.5222584e-31
460000	-0.30915443	1.8063872e-30
480000	-0.80910562	9.0120519e-31
500000	-0.99999999	5.2806171e-30
520000	-0.80892096	6.3759186e-32
540000	-0.30885565	6.134651e-30
560000	0.30918431	1.7324611e-30
580000	0.80912408	2.9025062e-30
600000	0.99999998	9.6764855e-32
620000	0.80890249	5.324077e-31
640000	0.30882577	1.4504456e-32
660000	-0.30921418	6.6704405e-31
680000	-0.80914254	5.6528746e-32
700000	-0.99999998	7.7593523e-31
720000	-0.80888402	7.6751872e-31
740000	-0.30879589	2.0215703e-31
760000	0.30924406	9.1325576e-31
780000	0.809161	6.3004722e-32
800000	0.99999997	3.5922111e-31
820000	0.80886555	4.865518e-31
840000	0.30876601	7.4283468e-32
860000	-0.30927394	9.3435843e-31
880000	-0.80917946	9.975659e-33
900000	-0.99999996	8.9129985e-31
920000	-0.80884708	1.25946e-31
940000	-0.30873612	5.7637807e-30
960000	0.30930381	6.8168504e-30
980000	0.80919792	9.1196343e-30
1000000	0.99999995	7.1969963e-30
1020000	0.8088286	2.4029557e-31
1040000	0.30870624	1.8386984e-30
1060000	-0.30933369	4.445967e-30
1080000	-0.80921638	1.0269485e-29
1100000	-0.99999994	2.6739006e-29
1120000	-0.80881013	9.9581685e-30
1140000	-0.30867636	3.7108184e-29
1160000	0.30936356	2.8059183e-30
1180000	0.80923484	1.4143339e-29
1200000	0.99999993	1.5166491e-29
1220000	0.80879165	2.7916231e-29
1240000	0.30864648	3.0790521e-31
1260000	-0.30939344	1.1538485e-29
1280000	-0.80925329	4.7246653e-30
1300000	-0.99999992	1.0123986e-29
1320000	-0.80877318	3.9083391e-30
1340000	-0.3086166	1.3788499e-30
1360000	0.30942331	1.3150735e-30
1380000	0.80927175	2.2839614e-30
1400000	0.9999999	2.4622206e-31
1420000	0.8087547	2.0188186e-30
1440000	0.30858671	2.2257823e-31
1460000	-0.30945319	4.3974419e-31
1480000	-0.8092902	5.2812293e-33
1500000	-0.99999989	1.4075134e-31
1520000	-0.80873622	1.309976e-32
1540000	-0.30855683	5.7148515e-31
1560000	0.30948306	3.0170914e-32
1580000	0.80930865	1.8129532e-31
1600000	0.99999987	4.779343e-32
1620000	0.80871774	1.2031661e-30
1640000	0.30852695	1.5842124e-31
1660000	-0.30951293	2.0322969e-31
1680000	-0.80932711	7.4090445e-31
1700000	-0.99999986	6.1736854e-31
