FSK Experiment 1: NP=100, SymbolRate=10000 Hz, F1=98000, F2=102000
Frequency	Signal	Power
0	1	5.1687222e-08
10	0.80156698	1.7400869e-07
20	0.28501926	8.1583887e-09
30	-0.34464292	2.255663e-07
40	-0.83752804	2.4794418e-07
50	-0.99802673	1.9185808e-08
60	-0.76244251	3.0310597e-07
70	-0.22427076	1.4170379e-07
80	0.40290644	8.216646e-09
90	0.87018375	2.2131096e-07
100	0.9921147	1.9300924e-07
110	0.72030902	1.8612883e-07
120	0.16263717	1.5176616e-07
130	-0.45957986	6.027214e-08
140	-0.89940525	5.4506006e-08
150	-0.98228725	2.5779991e-07
160	-0.67533281	1.551742e-07
170	-0.10036171	1.4898627e-07
180	0.51443953	1.0069627e-07
190	0.92507721	1.988175e-07
200	0.96858316	1.4158149e-07
210	0.62769136	1.5013413e-07
220	0.037690183	2.3048971e-07
230	-0.56726895	2.6329932e-07
240	-0.9470983	8.5573972e-08
250	-0.95105652	2.1110846e-07
260	-0.5775727	1.1422745e-07
270	0.025130095	1.4876573e-07
280	0.61785961	1.0453323e-07
290	0.96538164	1.9720779e-07
300	0.92977649	1.9234692e-07
310	0.52517463	6.6240819e-08
320	-0.087851197	1.2842558e-07
330	-0.66601187	8.1918357e-08
340	-0.97985505	1.4840824e-07
350	-0.90482705	1.4033562e-07
360	-0.47070393	1.1343024e-07
370	0.15022559	2.5584747e-07
380	0.71153568	8.811067e-08
390	0.99046143	2.8101861e-07
400	0.87630668	2.9572222e-08
410	0.41437558	5.5222459e-07
420	-0.21200711	2.7517847e-08
430	-0.75425138	2.8247553e-07
440	-0.9971589	1.9202258e-08
450	-0.84432793	4.0233561e-07
460	-0.35641188	2.1920029e-08
470	0.27295194	1.5541914e-07
480	0.7939904	1.984905e-07
490	0.99992104	4.6284695e-08
500	0.80901699	2.1668674e-07
510	0.29704158	2.7006426e-07
520	-0.33281954	6.8620696e-08
530	-0.8305959	2.3868164e-07
540	-0.99873696	2.8935228e-07
550	-0.77051324	2.1707141e-08
560	-0.236499	1.2370359e-07
570	0.39137367	2.4626372e-07
580	0.86392342	1.2713003e-07
590	0.99361131	5.2055135e-10
600	0.72896863	2.7145046e-07
610	0.17502306	2.1925751e-08
620	-0.44838322	2.5628009e-07
630	-0.89384142	1.967661e-07
