Quadrature Modulation 1GHz: F=1.0E9, FS=10.0E9
Frequency	Signal	Power
0	-1	7.1771413e-33
10000	-0.22123174	2.5190468e-13
20000	0.64203952	2.2922096e-12
30000	1.2600735	3.4234737e-12
40000	1.3968022	9.7268673e-12
50000	1	3.4082333e-11
60000	0.22123174	7.8077337e-11
70000	-0.64203952	1.2167496e-12
80000	-1.2600735	3.8880546e-11
90000	-1.3968022	4.0619779e-11
100000	-1	3.7594284e-11
110000	-0.22123174	3.1597147e-11
120000	0.64203952	4.32153e-10
130000	1.2600735	1.1523868e-10
140000	1.3968022	3.8507437e-10
150000	1	5.0452508e-11
160000	0.22123174	8.8682222e-10
170000	-0.64203952	1.6102841e-10
180000	-1.2600735	1.4358221e-10
190000	-1.3968022	6.3292959e-10
200000	-1	5.9060023e-11
210000	-0.22123174	2.9448302e-10
220000	0.64203952	4.6612997e-10
230000	1.2600735	1.1871353e-10
240000	1.3968022	1.0475684e-10
250000	1	1.829385e-10
260000	0.22123174	7.9724301e-10
270000	-0.64203952	2.4176841e-10
280000	-1.2600735	6.2601572e-10
290000	-1.3968022	4.7556022e-10
300000	-1	2.0743337e-09
310000	-0.22123174	5.5416586e-10
320000	0.64203952	3.8193879e-10
330000	1.2600735	2.2597013e-10
340000	1.3968022	1.6262303e-10
350000	1	1.685819e-09
360000	0.22123174	3.1708426e-10
370000	-0.64203952	8.2701896e-10
380000	-1.2600735	6.6244301e-10
390000	-1.3968022	1.033351e-10
400000	-1	1.0598673e-10
410000	-0.22123174	2.6629717e-09
420000	0.64203952	2.9535254e-10
430000	1.2600735	1.4255602e-09
440000	1.3968022	5.3755195e-10
450000	1	3.5096237e-10
460000	0.22123174	1.6427153e-09
470000	-0.64203952	1.2968222e-09
480000	-1.2600735	5.2750202e-10
490000	-1.3968022	5.5217273e-10
500000	-1	7.1141724e-10
510000	-0.22123174	4.8682784e-11
520000	0.64203952	1.6763067e-09
530000	1.2600735	1.5651421e-09
540000	1.3968022	5.8336275e-10
550000	1	1.1136748e-09
560000	0.22123174	1.483945e-09
570000	-0.64203952	2.8975492e-10
580000	-1.2600735	6.5012393e-10
590000	-1.3968022	4.0090902e-11
600000	-1	2.979867e-09
610000	-0.22123174	4.7396084e-11
620000	0.64203952	7.9251731e-10
630000	1.2600735	2.9287467e-10
640000	1.3968022	4.157876e-10
650000	1	2.9019059e-09
660000	0.22123174	9.5627793e-10
670000	-0.64203952	1.0857406e-09
680000	-1.2600735	1.3334805e-09
690000	-1.3968022	7.2039371e-10
700000	-1	7.6908473e-10
710000	-0.22123174	3.0631655e-10
720000	0.64203952	1.1228851e-09
730000	1.2600735	1.0115883e-10
740000	1.3968022	1.3202027e-09
750000	1	1.4451757e-10
760000	0.22123174	7.1097377e-10
770000	-0.64203952	4.1458306e-10
780000	-1.2600735	3.2628095e-10
790000	-1.3968022	3.0282933e-09
800000	-1	6.109497e-10
810000	-0.22123174	4.0241837e-10
820000	0.64203952	2.3814043e-09
830000	1.2600735	1.6162219e-10
840000	1.3968022	1.9044756e-09
850000	1	5.7775887e-10
860000	0.22123174	1.2656628e-09
870000	-0.64203952	3.688456e-10
880000	-1.2600735	1.0780173e-09
890000	-1.3968022	7.3701368e-10
900000	-1	6.9200896e-10
910000	-0.22123174	9.6634705e-10
920000	0.64203952	7.9533968e-10
930000	1.2600735	2.2325663e-09
940000	1.3968022	5.6080625e-10
950000	1	1.1812975e-09
960000	0.22123174	4.4420355e-10
970000	-0.64203952	9.7621931e-11
980000	-1.2600735	2.1585833e-09
990000	-1.3968022	8.6857649e-10
1000000	-1	6.9068687e-11
1010000	-0.22123174	8.6883252e-10
1020000	0.64203952	2.1598528e-09
1030000	1.2600735	9.7707686e-11
1040000	1.3968022	4.4472077e-10
1050000	1	1.1830038e-09
1060000	0.22123174	5.6176941e-10
1070000	-0.64203952	2.2369914e-09
1080000	-1.2600735	7.9711906e-10
1090000	-1.3968022	9.6874556e-10
1100000	-1	6.9388816e-10
1110000	-0.22123174	7.3917842e-10
1120000	0.64203952	1.081409e-09
1130000	1.2600735	3.7007848e-10
1140000	1.3968022	1.270125e-09
1150000	1	5.7989386e-10
1160000	0.22123174	1.911811e-09
1170000	-0.64203952	1.6226781e-10
1180000	-1.2600735	2.3912263e-09
1190000	-1.3968022	4.0412516e-10
1200000	-1	6.1360466e-10
1210000	-0.22123174	3.0417318e-09
1220000	0.64203952	3.2775505e-10
1230000	1.2600735	4.1648464e-10
1240000	1.3968022	7.1427602e-10
1250000	1	1.4519569e-10
1260000	0.22123174	1.3264474e-09
1270000	-0.64203952	1.0164019e-10
1280000	-1.2600735	1.1282505e-09
1290000	-1.3968022	3.0778367e-10
1300000	-1	7.7277113e-10
1310000	-0.22123174	7.2384414e-10
1320000	0.64203952	1.3398537e-09
1330000	1.2600735	1.0909117e-09
1340000	1.3968022	9.6081098e-10
1350000	1	2.9155811e-09
1360000	0.22123174	4.1773335e-10
1370000	-0.64203952	2.9423427e-10
1380000	-1.2600735	7.9616338e-10
1390000	-1.3968022	4.7611978e-11
1400000	-1	2.9932943e-09
1410000	-0.22123174	4.0269454e-11
1420000	0.64203952	6.5298341e-10
1430000	1.2600735	2.9101256e-10
1440000	1.3968022	1.4902961e-09
1450000	1	1.1183714e-09
1460000	0.22123174	5.8578514e-10
1470000	-0.64203952	1.5715371e-09
1480000	-1.2600735	1.6830416e-09
1490000	-1.3968022	4.8874987e-11
1500000	-1	7.1417547e-10
1510000	-0.22123174	5.5427372e-10
1520000	0.64203952	5.2947053e-10
1530000	1.2600735	1.3015655e-09
1540000	1.3968022	1.6486007e-09
1550000	1	3.5219322e-10
1560000	0.22123174	5.3939618e-10
1570000	-0.64203952	1.4303415e-09
1580000	-1.2600735	2.9632033e-10
1590000	-1.3968022	2.6714907e-09
1600000	-1	1.0631753e-10
1610000	-0.22123174	1.0364953e-10
1620000	0.64203952	6.6440671e-10
1630000	1.2600735	8.2940545e-10
1640000	1.3968022	3.1797427e-10
1650000	1	1.6904179e-09
1660000	0.22123174	1.6305382e-10
1670000	-0.64203952	2.2655088e-10
1680000	-1.2600735	3.828902e-10
1690000	-1.3968022	5.5550253e-10
1700000	-1	2.0791732e-09
1710000	-0.22123174	4.7663222e-10
1720000	0.64203952	6.2737753e-10
1730000	1.2600735	2.422753e-10
1740000	1.3968022	7.9885179e-10
1750000	1	1.8329329e-10
1760000	0.22123174	1.0495179e-10
1770000	-0.64203952	1.1892514e-10
1780000	-1.2600735	4.6692442e-10
1790000	-1.3968022	2.9496193e-10
1800000	-1	5.9151464e-11
1810000	-0.22123174	6.3386024e-10
1820000	0.64203952	1.4378217e-10
1830000	1.2600735	1.6124017e-10
1840000	1.3968022	8.8791968e-10
1850000	1	5.0511039e-11
1860000	0.22123174	3.8549134e-10
1870000	-0.64203952	1.1535457e-10
1880000	-1.2600735	4.3255428e-10
1890000	-1.3968022	3.1624054e-11
1900000	-1	3.7623407e-11
1910000	-0.22123174	4.0648126e-11
1920000	0.64203952	3.8904695e-11
1930000	1.2600735	1.217412e-12
1940000	1.3968022	7.8113861e-11
1950000	1	3.4095667e-11
1960000	0.22123174	9.7299282e-12
1970000	-0.64203952	3.4242892e-12
1980000	-1.2600735	2.2925803e-12
1990000	-1.3968022	2.5192616e-13
2000000	-1	1.6471815e-29
2010000	-0.22123174	2.5188765e-13
2020000	0.64203952	2.2918794e-12
2030000	1.2600735	3.4227188e-12
2040000	1.3968022	9.7239787e-12
2050000	1	3.4069604e-11
2060000	0.22123174	7.8042199e-11
2070000	-0.64203952	1.2161088e-12
2080000	-1.2600735	3.885709e-11
2090000	-1.3968022	4.0592157e-11
2100000	-1	3.7565832e-11
2110000	-0.22123174	3.1570806e-11
2120000	0.64203952	4.3175947e-10
2130000	1.2600735	1.1512486e-10
2140000	1.3968022	3.8466435e-10
2150000	1	5.039489e-11
2160000	0.22123174	8.8574085e-10
2170000	-0.64203952	1.6081958e-10
2180000	-1.2600735	1.4338487e-10
2190000	-1.3968022	6.3201053e-10
2200000	-1	5.8969669e-11
2210000	-0.22123174	2.9400956e-10
2220000	0.64203952	4.6534417e-10
2230000	1.2600735	1.1850412e-10
2240000	1.3968022	1.0456386e-10
2250000	1	1.8258716e-10
2260000	0.22123174	7.9564931e-10
2270000	-0.64203952	2.4126612e-10
2280000	-1.2600735	6.246659e-10
2290000	-1.3968022	4.7449738e-10
2300000	-1	2.0695343e-09
2310000	-0.22123174	5.5284e-10
2320000	0.64203952	3.8099487e-10
2330000	1.2600735	2.2539385e-10
2340000	1.3968022	1.6219548e-10
