Frequency	Signal	Power
0	-1	6.5128782e-30
10	-0.64203952	6.5889148e-11
20	-0.22123174	2.3980686e-10
30	0.22123174	1.9103882e-08
40	0.64203952	4.2806923e-09
50	1	2.7843468e-09
60	1.2600735	2.2760495e-08
70	1.3968022	1.4232907e-08
80	1.3968022	3.6808524e-08
90	1.2600735	9.2595474e-09
100	1	3.6459643e-08
110	0.64203952	1.7958875e-07
120	0.22123174	3.6984159e-09
130	-0.22123174	9.2869171e-08
140	-0.64203952	3.9234119e-08
150	-1	7.5021522e-08
160	-1.2600735	1.4828554e-08
170	-1.3968022	3.0728099e-07
180	-1.3968022	6.4314961e-08
190	-1.2600735	1.1004924e-07
200	-1	2.0162183e-07
210	-0.64203952	1.3680972e-07
220	-0.22123174	4.3475087e-08
230	0.22123174	6.1168919e-07
240	0.64203952	6.2238418e-10
250	1	2.6175055e-07
260	1.2600735	7.6441273e-08
270	1.3968022	1.1888615e-08
280	1.3968022	1.2653002e-07
290	1.2600735	5.7261605e-08
300	1	2.68498e-07
310	0.64203952	4.846048e-08
320	0.22123174	1.4343836e-07
330	-0.22123174	6.4167645e-08
340	-0.64203952	2.6699564e-07
350	-1	6.4127751e-07
360	-1.2600735	2.5397137e-07
370	-1.3968022	5.8871946e-08
380	-1.3968022	3.378725e-07
390	-1.2600735	2.5448629e-07
400	-1	3.8221843e-07
410	-0.64203952	3.5748029e-08
420	-0.22123174	1.5784358e-07
430	0.22123174	6.9797121e-07
440	0.64203952	1.8054101e-07
450	1	1.1727224e-07
460	1.2600735	8.850584e-07
470	1.3968022	1.0531913e-07
480	1.3968022	5.263608e-07
490	1.2600735	9.1498582e-07
500	1	1.981743e-07
510	0.64203952	9.124911e-07
520	0.22123174	5.2842525e-07
530	-0.22123174	1.0533485e-07
540	-0.64203952	8.9667457e-07
550	-1	1.1841245e-07
560	-1.2600735	1.8673705e-07
570	-1.3968022	7.1304831e-07
580	-1.3968022	1.5992553e-07
590	-1.2600735	3.6287291e-08
600	-1	3.9676184e-07
610	-0.64203952	2.6035153e-07
620	-0.22123174	3.4691353e-07
630	0.22123174	6.2282602e-08
640	0.64203952	2.6150161e-07
650	1	6.6309565e-07
660	1.2600735	2.7724597e-07
670	1.3968022	6.6477405e-08
680	1.3968022	1.5131024e-07
690	1.2600735	5.1469612e-08
700	1	2.7835529e-07
710	0.64203952	6.037005e-08
720	0.22123174	1.308996e-07
730	-0.22123174	1.2003731e-08
740	-0.64203952	8.0514576e-08
750	-1	2.7195935e-07
760	-1.2600735	5.7054263e-10
770	-1.3968022	6.3287245e-07
780	-1.3968022	4.4531453e-08
790	-1.2600735	1.4069466e-07
800	-1	2.0926005e-07
810	-0.64203952	1.1293757e-07
820	-0.22123174	6.6222576e-08
830	0.22123174	3.1792108e-07
840	0.64203952	1.5046942e-08
850	1	7.7709201e-08
860	1.2600735	4.0083376e-08
870	1.3968022	9.5704651e-08
880	1.3968022	3.6803881e-09
890	1.2600735	1.8345483e-07
900	1	3.6960382e-08
910	0.64203952	9.5296845e-09
920	0.22123174	3.73151e-08
930	-0.22123174	1.450625e-08
940	-0.64203952	2.2996646e-08
950	-1	2.847266e-09
960	-1.2600735	4.2828526e-09
970	-1.3968022	1.9202486e-08
980	-1.3968022	2.3900463e-10
990	-1.2600735	6.6483321e-11
1000	-1	7.9897356e-32
1010	-0.64203952	6.5468514e-11
